Medidas de prevención del VIH/sida;Opinión sobre su eficacia;Sexo;Frecuencia de salidas nocturnas en los últimos 12 meses;Total
Lavarse después de las relaciones sexuales;Total;Ambos sexos;Total;20.759,60
Lavarse después de las relaciones sexuales;Total;Ambos sexos;Al menos 1 vez al mes;13.759,40
Lavarse después de las relaciones sexuales;Total;Ambos sexos;Menos de 1 vez al mes;6.929,10
Lavarse después de las relaciones sexuales;Total;Ambos sexos;No consta;71,1
Lavarse después de las relaciones sexuales;Total;Varones;Total;10.532,10
Lavarse después de las relaciones sexuales;Total;Varones;Al menos 1 vez al mes;7.566,40
Lavarse después de las relaciones sexuales;Total;Varones;Menos de 1 vez al mes;2.930,70
Lavarse después de las relaciones sexuales;Total;Varones;No consta;35
Lavarse después de las relaciones sexuales;Total;Mujeres;Total;10.227,50
Lavarse después de las relaciones sexuales;Total;Mujeres;Al menos 1 vez al mes;6.193,00
Lavarse después de las relaciones sexuales;Total;Mujeres;Menos de 1 vez al mes;3.998,40
Lavarse después de las relaciones sexuales;Total;Mujeres;No consta;36,1
Lavarse después de las relaciones sexuales;Eficaz;Ambos sexos;Total;4.296,70
Lavarse después de las relaciones sexuales;Eficaz;Ambos sexos;Al menos 1 vez al mes;2.772,90
Lavarse después de las relaciones sexuales;Eficaz;Ambos sexos;Menos de 1 vez al mes;1.510,30
Lavarse después de las relaciones sexuales;Eficaz;Ambos sexos;No consta;13,6
Lavarse después de las relaciones sexuales;Eficaz;Varones;Total;2.372,50
Lavarse después de las relaciones sexuales;Eficaz;Varones;Al menos 1 vez al mes;1.664,40
Lavarse después de las relaciones sexuales;Eficaz;Varones;Menos de 1 vez al mes;699,2
Lavarse después de las relaciones sexuales;Eficaz;Varones;No consta;8,9
Lavarse después de las relaciones sexuales;Eficaz;Mujeres;Total;1.924,20
Lavarse después de las relaciones sexuales;Eficaz;Mujeres;Al menos 1 vez al mes;1.108,40
Lavarse después de las relaciones sexuales;Eficaz;Mujeres;Menos de 1 vez al mes;811,1
Lavarse después de las relaciones sexuales;Eficaz;Mujeres;No consta;4,6
Lavarse después de las relaciones sexuales;No eficaz;Ambos sexos;Total;15.733,30
Lavarse después de las relaciones sexuales;No eficaz;Ambos sexos;Al menos 1 vez al mes;10.618,60
Lavarse después de las relaciones sexuales;No eficaz;Ambos sexos;Menos de 1 vez al mes;5.072,80
Lavarse después de las relaciones sexuales;No eficaz;Ambos sexos;No consta;41,9
Lavarse después de las relaciones sexuales;No eficaz;Varones;Total;7.806,30
Lavarse después de las relaciones sexuales;No eficaz;Varones;Al menos 1 vez al mes;5.700,50
Lavarse después de las relaciones sexuales;No eficaz;Varones;Menos de 1 vez al mes;2.084,20
Lavarse después de las relaciones sexuales;No eficaz;Varones;No consta;21,6
Lavarse después de las relaciones sexuales;No eficaz;Mujeres;Total;7.927,00
Lavarse después de las relaciones sexuales;No eficaz;Mujeres;Al menos 1 vez al mes;4.918,10
Lavarse después de las relaciones sexuales;No eficaz;Mujeres;Menos de 1 vez al mes;2.988,60
Lavarse después de las relaciones sexuales;No eficaz;Mujeres;No consta;20,3
Lavarse después de las relaciones sexuales;No consta;Ambos sexos;Total;729,6
Lavarse después de las relaciones sexuales;No consta;Ambos sexos;Al menos 1 vez al mes;367,9
Lavarse después de las relaciones sexuales;No consta;Ambos sexos;Menos de 1 vez al mes;346
Lavarse después de las relaciones sexuales;No consta;Ambos sexos;No consta;15,6
Lavarse después de las relaciones sexuales;No consta;Varones;Total;353,3
Lavarse después de las relaciones sexuales;No consta;Varones;Al menos 1 vez al mes;201,4
Lavarse después de las relaciones sexuales;No consta;Varones;Menos de 1 vez al mes;147,3
Lavarse después de las relaciones sexuales;No consta;Varones;No consta;4,6
Lavarse después de las relaciones sexuales;No consta;Mujeres;Total;376,3
Lavarse después de las relaciones sexuales;No consta;Mujeres;Al menos 1 vez al mes;166,5
Lavarse después de las relaciones sexuales;No consta;Mujeres;Menos de 1 vez al mes;198,7
Lavarse después de las relaciones sexuales;No consta;Mujeres;No consta;11,1
Elegir correctamente las parejas;Total;Ambos sexos;Total;20.759,60
Elegir correctamente las parejas;Total;Ambos sexos;Al menos 1 vez al mes;13.759,40
